hs_code,HS_NAME,FIPS,LOCALE,HS_STATE,CBSA,NMCBSA,CSA,NMCSA,sem_5,sem_6,sem_8,sem_9,sem_11,sem_12,sem_14,sem_15,sem_17,sem_18,sem_20,sem_21,sem_23,sem_24,sem_26,sem_27,sem_29,sem_30,sem_32,sem_33
N142980,MONTICELLO HIGH SCHOOL,F17147,32,IL,16580,"Champaign-Urbana, IL",169,"Champaign-Urbana-Danville, IL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
N142990,MORRIS COMMUNITY HIGH SCHOOL,F17063,31,IL,16980,"Chicago-Naperville-Elgin, IL-IN",176,"Chicago-Naperville, IL-IN-WI",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
N143000,MORRISON COMMUNITY HIGH SCHOOL,F17195,42,IL,44580,"Sterling, IL",221,"Dixon-Sterling, IL",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
N143010,MORTON HIGH SCHOOL,F17179,21,IL,37900,"Peoria, IL",427,"Peoria-Canton, IL",1,0,2,0,0,0,3,0,2,0,1,0,0,0,0,0,1,0,2,0
N143062,PROSPECT HIGH SCHOOL,F17031,21,IL,16980,"Chicago-Naperville-Elgin, IL-IN",176,"Chicago-Naperville, IL-IN-WI",6,0,2,0,0,0,2,0,4,0,4,0,3,0,4,0,6,0,5,0
N143085,MOUNT ZION HIGH SCHOOL,F17115,23,IL,19500,"Decatur, IL",N,N,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
N143096,CARMEL CATHOLIC HIGH SCHOOL,F17097,21,IL,16980,"Chicago-Naperville-Elgin, IL-IN",176,"Chicago-Naperville, IL-IN-WI",5,0,4,0,9,0,1,0,4,0,3,0,0,0,1,0,2,0,4,0
N143097,MUNDELEIN HIGH SCHOOL,F17097,21,IL,16980,"Chicago-Naperville-Elgin, IL-IN",176,"Chicago-Naperville, IL-IN-WI",7,0,1,0,1,0,3,0,3,0,0,0,2,0,1,0,2,0,3,0
N143105,NAPERVILLE CENTRAL HIGH SCHOOL,F17043,12,IL,16980,"Chicago-Naperville-Elgin, IL-IN",176,"Chicago-Naperville, IL-IN-WI",11,0,4,0,8,0,4,0,3,0,9,0,3,0,4,0,7,0,5,0
N143106,NAPERVILLE NORTH HIGH SCHOOL,F17043,12,IL,16980,"Chicago-Naperville-Elgin, IL-IN",176,"Chicago-Naperville, IL-IN-WI",11,0,0,0,5,0,2,0,4,0,3,0,7,0,3,0,1,0,8,0
N143108,NEUQUA VALLEY HIGH SCHOOL,F17197,12,IL,16980,"Chicago-Naperville-Elgin, IL-IN",176,"Chicago-Naperville, IL-IN-WI",8,0,17,0,14,0,11,0,7,0,5,0,12,0,12,0,11,0,6,0
N143170,LINCOLN-WAY CENTRAL HIGH SCHOOL,F17197,21,IL,16980,"Chicago-Naperville-Elgin, IL-IN",176,"Chicago-Naperville, IL-IN-WI",3,0,1,0,8,0,3,0,1,0,2,0,1,0,6,0,8,0,4,0
